-,Date,Time,Location,Latitude,Longitude,Operator,Flight #,Route,AC Type,Registration,cn / ln,Aboard,Fatalities,Ground,Summary
ACCIDENT DETAILS,"December 16, 1918",?,"Elizabeth, New Jersey",40.663624,-74.2116825,US Aerial Mail Service,?,?,De Havilland DH-4,97,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.
ACCIDENT DETAILS,"May 25, 1919",?,"Cleveland, Ohio",41.49932,-81.6943605,US Aerial Mail Service,?,?,De Havilland DH-4,61,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.
ACCIDENT DETAILS,"July 19, 1919",?,"Dix Run, Pennsylvania",40.9064,-77.9395179,US Aerial Mail Service,?,?,De Havilland DH-4,82,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,The mail plane crashed under unknown circumstances.
ACCIDENT DETAILS,"July 21, 1919",1655,"Chicago, Illinois",41.88325,-87.6323879,Wingfoot Air Express Goodyear Tire,?,Shuttle,FD Type Dirigible,?,?,? (passengers:? crew:?),3 (passengers:2 crew:1),10,"The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed"
ACCIDENT DETAILS,"August 02, 1919",?,"Verona, Italy",45.4383659,10.9917136,Caproni Company,?,Venice Taliedo,Caproni Ca.48,?,?,14 (passengers:12 crew:2),14 (passengers:12 crew:2),0,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.
ACCIDENT DETAILS,"October 02, 1919",?,"Newcastle, England",54.978252,-1.61778,Aircraft Transport and Travel,?,?,De Havilland DH-4,?,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,?
ACCIDENT DETAILS,"October 14, 1919",?,"Cantonsville, Maryland",39.2720509,-76.7319161,US Aerial Mail Service,?,?,Curtiss R-4LM,32,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods."
ACCIDENT DETAILS,"October 20, 1919",?,"English Channel off Forkstone, Kent",51.081397,1.169456,Aircraft Transport and Travel,?,?,De Havilland DH-4,G-EAHG,?,0 (passengers:0 crew:1),0 (passengers:0 crew:0),0,Crashed into the sea while attempting to land in fog.
ACCIDENT DETAILS,"October 30, 1919",?,"Long Valley, New Jersey",40.7859331,-74.7801645,US Aerial Mail Service,?,?,De Havilland DH.4,77,77,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed."
ACCIDENT DETAILS,"December 11, 1919",?,"Catherham, Surrey, UK",51.280296,-0.0816159,Aircraft Travel Transport,?,Paris - Hounslow,de Havilland DH-4,G-EAHF,?,1 (passengers:1 crew:1),1 (passengers:1 crew:1),0,Crashed in a field while attemptting to land.
ACCIDENT DETAILS,"March 10, 1920",?,"New Paris, Indiana",41.5033572,-85.8307059,US Aerial Mail Service,?,?,De Havilland DH-4,65,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area."
ACCIDENT DETAILS,"March 30, 1920",?,"Newark, New Jersey",40.7315293,-74.1744671,US Aerial Mail Service,?,Washington - Newark,De Havilland DH-4,72,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.
ACCIDENT DETAILS,"April 10, 1920",?,"Newark, New Jersey",40.7315293,-74.1744671,US Aerial Mail Service,?,?,Curtiss R-4LM,49,?,2 (passengers:1 crew:1),1 (passengers:0 crew:1),0,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.
ACCIDENT DETAILS,"April 11, 1920",?,"Heller Field, New Jersey",40.9356001,-74.6611769,US Aerial Mail Service,?,?,Curtiss JN-4H,44,?,2 (passengers:1 crew:1),1 (passengers:0 crew:1),0,The aircraft crashed while on approach for unknown reasons.
ACCIDENT DETAILS,"May 12, 1920",?,"Oskaloosa, Iowa",41.2916728,-92.6493595,US Aerial Mail Service,?,?,De Havilland DH-4,79,?,2 (passengers:1 crew:1),1 (passengers:1 crew:0),0,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field."
ACCIDENT DETAILS,"June 06, 1920",?,"Cleveland, Ohio",41.49932,-81.6943605,US Aerial Mail Service,?,?,De Havilland DH-4,204,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,The aircraft suffered engine failure and crashed shortly after taking off.
ACCIDENT DETAILS,"July 20, 1920",?,"Cartagena, Columbia",10.3932277,-75.4832311,Compañia Colombiana de Navegación Aérea,?,?,Farman F-40,?,?,1 (passengers:1 crew:1),1 (passengers:1 crew:1),0,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.
ACCIDENT DETAILS,"August 16, 1920",?,"Bedford, England",52.1359783,-0.4666513,By Air,?,?,Armstrong-Whitworth F-K-8,G-EALW,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,The plane crashed during a cargo flight under unknown circumstances.
ACCIDENT DETAILS,"August 16, 1920",?,"College Park, Maryland",38.9896967,-76.93776,US Aerial Mail Service,?,?,De Havilland DH-4,317,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames."
ACCIDENT DETAILS,"September 01, 1920",?,"Morristown, New Jersey",40.7922983,-74.4763123,US Aerial Mail Service,?,?,Junkers JL-6,305,?,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire."
ACCIDENT DETAILS,"September 15, 1920",?,"Pemberville, Ohio",41.4108855,-83.46104,US Aerial Mail Service,?,?,Junkers F-13,308,?,2 (passengers:? crew:?),2 (passengers:? crew:?),0,The pilot crashed after attempting to make an emergency landing after the engine caught fire.
ACCIDENT DETAILS,"September 27, 1920",?,"Hillersburg, Pennsylvania",41.2033216,-77.1945247,US Aerial Mail Service,?,?,De Havilland DH-4,316,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.
ACCIDENT DETAILS,"October 02, 1920",?,"Off Port Vendres, France",42.518487,3.106592,Latecoere Airlines,?,?,Salmson 2-A-2,F-ALAI,31,2 (passengers:1 crew:1),2 (passengers:1 crew:1),0,Crashed into the Mediterranean while on a mail flight.
ACCIDENT DETAILS,"October 05, 1920",?,"Valencia, Spain",39.4738338,-0.3756348,Latecoere Airlines,?,?,Breguet 14,F-ALTA,20,2 (passengers:1 crew:1),2 (passengers:1 crew:1),0,While on a mail flight the plane crashed while attempting to land.
ACCIDENT DETAILS,"October 15, 1920",?,"Batavia, Illinois",41.8500284,-88.3125738,US Aerial Mail Service,?,?,De Havilland DH-4,76,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,While attempting to land in fog the aircraft hit an obstruction and crashed.
ACCIDENT DETAILS,"November 07, 1920",?,"Tie Siding, Wyoming",41.0802621,-105.5074905,US Aerial Mail Service,?,?,De Havilland DH-4,?,178,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,The aircraft crashed into a mountain in poor weather condtions.
ACCIDENT DETAILS,"December 14, 1920",1215,"London, England",51.5072178,-0.1275862,Handley Page Transport,?,London - Paris,Handley Page HP-16,G-EAMA,HP-25,8 (passengers:6 crew:2),4 (passengers:2 crew:2),0,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..
ACCIDENT DETAILS,"December 24, 1920",?,"Barcelona, Spain",41.3873974,2.168568,Aeropostale,?,?,Breguet 14,F-ALBO,57,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,The aircraft stalled and crashed when an engine failed.
ACCIDENT DETAILS,"February 03, 1921",?,"Mendotta, Minnisota",44.8871878,-93.1643869,US Aerial Mail Service,?,?,De Havilland DH-4,130,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed in a field.
ACCIDENT DETAILS,"February 09, 1921",?,"La Crosse, Wisconsin",43.8137751,-91.2519017,US Aerial Mail Service,?,?,Junkers F-13,301,?,3 (passengers:0 crew:3),3 (passengers:0 crew:3),0,Crashed for unknown reasons. Both pilots and the mechanic were killed.
ACCIDENT DETAILS,"February 15, 1921",?,Off Gibraltar,36.140751,-5.353585,Aeropostale,?,?,Breguet 14,F-ALBA,?,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.
ACCIDENT DETAILS,"February 22, 1921",?,"Elko, Nevada",40.8436459,-115.7526187,US Aerial Mail Service,?,?,De Havilland DH-4,67,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,"Shortly after taking off, the aircraft stalled and crashed ."
ACCIDENT DETAILS,"April 06, 1921",?,"Point Cook, Australia",-37.9002643,144.7535495,Military - Royal Australian Air Force,?,?,Avro 504,H3021,?,2 (passengers:0 crew:0),2 (passengers:0 crew:0),0,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames."
ACCIDENT DETAILS,"April 21, 1921",?,"Mitchel Field, NY",40.7238895,-73.5984261,US Aerial Mail Service,?,?,De Havilland DH-4,160,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,After taking off the aircraft stalled and crashed.
ACCIDENT DETAILS,"April 29, 1921",?,"Cleveland, Ohio",41.49932,-81.6943605,US Aerial Mail Service,?,?,De Havilland DH-4,196,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog."
ACCIDENT DETAILS,"May 17, 1921",?,"Rock Springs, Wyoming",41.5874644,-109.2029043,US Aerial Mail Service,?,?,De Havilland DH-4 De Havilland DH-4,176,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,Crashed while attempting to land.
ACCIDENT DETAILS,"August 14, 1921",?,"Toulouse, France",43.6048462,1.442848,Aeropostale,?,?,Breguet 14,F-ALBI,?,2 (passengers:? crew:?),2 (passengers:? crew:?),0,?
ACCIDENT DETAILS,"August 24, 1921",1740,"River Humber, England",53.7413645,-0.2668878,Military - Royal Airship Works,?,?,Royal Airship Works ZR-2 (airship),R-38,R-38,49 (passengers:0 crew:49),43 (passengers:0 crew:43),1,"Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design. This was a test flight before being handed over to the navy. Thirty-two British and 17 Americans were on board, and the survivors were 5 British and 1 American. The fatalities included the designer, Charles Campbell, who had copied a captured German design intended for high-altitude flight, therefore the skeleton was a bit weaker than some. The pilot overstressed it by attempting a turn at 62 mph at low altitude."
ACCIDENT DETAILS,"September 06, 1921",?,"Paris, France",48.8575475,2.3513765,Franco-Roumaine,?,Warsaw - Prague - Strasbourg - Paris,Potez IX,F-ADCD,160,5 (passengers:4 crew:1),5 (passengers:4 crew:1),0,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.
ACCIDENT DETAILS,"December 05, 1921",?,"Near Murchinson River, Australia",-25.87480558,118.8421994,West Australian Airways,?,Geraldton - Derby,Bristol 28 Tourer,G-AUDI,6116,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.
ACCIDENT DETAILS,"January 14, 1922",?,"Paris, France",48.8575475,2.3513765,Handley Page Transport,?,?,Handley Page O/10,G-EATN,HP-43,5 (passengers:4 crew:1),5 (passengers:4 crew:1),5,Crashed at Le Bourget field.
ACCIDENT DETAILS,"February 21, 1922",?,"Near Norfolk, Virginia",36.8507689,-76.2858726,Military - U.S. Army Air Service,?,?,Dirigible Roma (airship),?,?,45 (passengers:? crew:?),34 (passengers:? crew:?),0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.
ACCIDENT DETAILS,"March 22, 1922",1140,North Atlantic Ocean,35.746512,-39.462891,Aero Limited,?,Miami - Bimini,Aeromarine Model 85 (flying boat),?,?,6 (passengers:5 crew:1),5 (passengers:5 crew:0),0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami."
ACCIDENT DETAILS,"April 07, 1922",1315,"Grandvilliers, France",49.665342,1.939705,Daimler Airways / Grands Express Aeriens,?,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,4,7 (passengers:5 crew:2),7 (passengers:5 crew:2),0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60."
ACCIDENT DETAILS,"April 08, 1922",?,"Pao Ting Fou, China",38.8739599,115.46459,?,?,Test,?,?,?,17 (passengers:0 crew:17),17 (passengers:0 crew:17),0,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.
ACCIDENT DETAILS,"June 03, 1922",?,"Off Folkestone, Kent, England",51.081397,1.169456,Cie des Messageries Aeriennes,?,Croydon - Paris,Bleriot Spad 27,F-ACMH,555,3 (passengers:2 crew:1),3 (passengers:2 crew:1),0,Went down into the English Channel while en route.
ACCIDENT DETAILS,"July 04, 1922",?,"Fuhlsbuttel, Germany",53.6295551,9.9911535,?,?,Hamburg - Berlin,LVG C VI,?,?,3 (passengers:2 crew:1),2 (passengers:1 crew:1),0,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron)."
ACCIDENT DETAILS,"July 16, 1922",1645,"Near Saverne, Lorraine, France",48.741963,7.361647,Compagnie Franco-Roumaine de Navigaation Aerienne,?,Strasbourg - Paris,Potez 29,F-FREI,25,5 (passengers:4 crew:1),5 (passengers:4 crew:1),0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.
ACCIDENT DETAILS,"July 26, 1922",?,"Cadix, Spain",36.5210142,-6.2804565,Grands Express Aeriens,?,?,Breguet 14,F-ALVE,117,3 (passengers:2 crew:1),3 (passengers:2 crew:1),0,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed."
ACCIDENT DETAILS,"September 07, 1922",?,"Indianapolis, Indiana",39.76909,-86.158018,US Aerial Mail Service,?,?,De Havilland DH-4,227,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,The plane stalled shortly after takeoff and crashed.
ACCIDENT DETAILS,"October 02, 1922",?,"Venice, Italy",45.440379,12.3159547,de Havilland Air Service,?,Venice - London,de Havilland DH-9,G-EAYT,14,4 (passengers:3 crew:1),4 (passengers:3 crew:1),0,Shortly after taking off the plane crashed into the sea and sank.
ACCIDENT DETAILS,"October 25, 1922",?,"Larache, Morocco",35.1721577,-6.1445644,Grands Express Aeriens,?,?,Breguet 14,?,?,2 (passengers:1 crew:1),2 (passengers:1 crew:1),0,Crashed under unknown circumstances.
ACCIDENT DETAILS,"December 03, 1922",?,"Fez, Morocco",34.0181246,-5.0078451,Grands Express Aeriens,?,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,F-ALNA,14,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.
ACCIDENT DETAILS,"January 10, 1923",?,"Ajaccio, France",41.919229,8.738635,Amee de l'Air,?,?,Lioré-et-Olivier H-13,F-AEIB,4,4 (passengers:2 crew:2),3 (passengers:1 crew:2),0,The plane crashed mid-air due to a structural failure of the tail.
ACCIDENT DETAILS,"January 17, 1923",?,"Barcelona, Spain",41.3873974,2.168568,Grands Express Aeriens,?,?,Breguet 14,F-ALJU,6083-130,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,Crashed into a mountain during a snowstorm.
ACCIDENT DETAILS,"January 18, 1923",?,"Cheyenne, Wyoming",41.1347435,-104.8211901,US Aerial Mail Service,?,?,De Havilland DH-4,223,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,Crashed during a mail flight.
ACCIDENT DETAILS,"February 26, 1923",?,"Meadville, Pennsylvania",41.6414438,-80.1514484,US Aerial Mail Service,?,?,De Havilland DH-4,291,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,The pilot lost control of the aircraft while on approach in poor weather conditions.
ACCIDENT DETAILS,"May 14, 1923",1342,"Near Amiens, Picrdie, France",49.894067,2.295753,Grands Express Aeriens (Air Union),?,Paris - London,Farman F-60 Goliath,F-AEBY,15,6 (passengers:4 crew:2),6 (passengers:4 crew:2),0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette."
ACCIDENT DETAILS,"August 27, 1923",1730,"East Mallling, United Kingdom",51.287435,0.440026,Air Union,?,Paris - Berck-sur-Mer - Croydon,Farman F.60 Goliath,F-AECB,4,11 (passengers:9 crew:2),1 (passengers:1 crew:0),0,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed."
ACCIDENT DETAILS,"August 27, 1923",?,"Bucharest, Romania",44.4267674,26.1025384,Campagnie France Roumaine,?,?,Blériot Spad 46,F-AEGN,28,2 (passengers:1 crew:1),2 (passengers:1 crew:1),0,Crashed while on approach to Bucharesst.
ACCIDENT DETAILS,"September 07, 1923",?,"Colton, Ohio",41.4645824,-83.9521687,US Aerial Mail Service,?,?,De Havilland DH-4,283,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,Crashed during an emergency landing attempt.
ACCIDENT DETAILS,"September 14, 1923",c 18:00,"Near Ivinghoe, Buckinghamshire, England",51.837421,-0.628359,Daimler Airways,?,Croydon - Manchester,de Havilland DH-34,G-EBBS,29,5 (passengers:3 crew:2),5 (passengers:3 crew:2),0,Crashed while attempting a forced landing after encountering heavy rain.
ACCIDENT DETAILS,"November 18, 1923",?,Russia,61.52401,105.318756,CCCP,?,?,Junkers F-13,D-257,?,5 (passengers:2 crew:3),3 (passengers:1 crew:2),0,Crashed during a training flight.
ACCIDENT DETAILS,"December 06, 1923",?,"Castalia, Ohio",41.4000523,-82.8085204,US Aerial Mail Service,?,?,De Havilland DH-4,318,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,Crashed under unknown circumstances.
ACCIDENT DETAILS,"December 23, 1923",c 02:30,Over the Mediterranean Sea,34.5531284,18.0480105,Military - French Navy,?,Toulon - Algiers,Zeppelin Dixmunde (airship),L-72,?,52 (passengers:? crew:?),52 (passengers:? crew:?),0,"Crashed while on a flight from Toulon, France to Algiers, Algeria. The last known radio contact reported the ship nearly out of fuel and battling strong winds. Struck by lightning."
ACCIDENT DETAILS,"December 24, 1923",?,"Egbert, WY",41.1697041,-104.2568991,US Aerial Mail Service,?,?,De Havilland DH-4,315,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,Crashed into a montain in poor weather conditions.
ACCIDENT DETAILS,"March 07, 1924",?,"Grampian, Pennsylvania",40.9658931,-78.6130821,US Aerial Mail Service,?,?,De Havilland DH-4,327,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,Crashed during a snowstorm.
ACCIDENT DETAILS,"April 24, 1924",?,Over the English Channel,50.134664,-0.357056,KLM Royal Dutch Airlines,?,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,H-NABS,1535,3 (passengers:2 crew:1),3 (passengers:2 crew:1),0,The aircraft disappeared over the North Sea. The plane and passengers were never found.
ACCIDENT DETAILS,"June 08, 1924",?,"Barranquilla, Colombia",11.0041072,-74.8069813,SCADTA,?,Barranquilla - Bogota,Junkers F-13,A16,684,5 (passengers:3 crew:2),5 (passengers:3 crew:2),0,Stalled after taking off and crashed into houses..
ACCIDENT DETAILS,"August 01, 1924",?,United States,38.7945952,-106.5348379,US Aerial Mail Service,?,?,De Havilland DH-4,297,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,"The pliot made a low pass in honor of another pilot who had died, stalled and cashed."
